,FID,geometry,sim_0
47,47,"POLYGON ((85125.86896790686 6472085.416192899, 105125.86896790686 6472085.416192899, 105125.86896790686 6452085.416192899, 85125.86896790686 6452085.416192899, 85125.86896790686 6472085.416192899))",0.0
48,48,"POLYGON ((85125.86896790686 6452085.416192899, 105125.86896790686 6452085.416192899, 105125.86896790686 6432085.416192899, 85125.86896790686 6432085.416192899, 85125.86896790686 6452085.416192899))",0.0
49,49,"POLYGON ((85125.86896790686 6432085.416192899, 105125.86896790686 6432085.416192899, 105125.86896790686 6412085.416192899, 85125.86896790686 6412085.416192899, 85125.86896790686 6432085.416192899))",0.0
50,50,"POLYGON ((85125.86896790686 6412085.416192899, 105125.86896790686 6412085.416192899, 105125.86896790686 6392085.416192899, 85125.86896790686 6392085.416192899, 85125.86896790686 6412085.416192899))",0.0
51,51,"POLYGON ((85125.86896790686 6392085.416192899, 105125.86896790686 6392085.416192899, 105125.86896790686 6372085.416192899, 85125.86896790686 6372085.416192899, 85125.86896790686 6392085.416192899))",0.0
52,52,"POLYGON ((85125.86896790686 6372085.416192899, 105125.86896790686 6372085.416192899, 105125.86896790686 6352085.416192899, 85125.86896790686 6352085.416192899, 85125.86896790686 6372085.416192899))",0.0
53,53,"POLYGON ((85125.86896790686 6352085.416192899, 105125.86896790686 6352085.416192899, 105125.86896790686 6332085.416192899, 85125.86896790686 6332085.416192899, 85125.86896790686 6352085.416192899))",0.0
54,54,"POLYGON ((85125.86896790686 6332085.416192899, 105125.86896790686 6332085.416192899, 105125.86896790686 6312085.416192899, 85125.86896790686 6312085.416192899, 85125.86896790686 6332085.416192899))",0.0
55,55,"POLYGON ((85125.86896790686 6312085.416192899, 105125.86896790686 6312085.416192899, 105125.86896790686 6292085.416192899, 85125.86896790686 6292085.416192899, 85125.86896790686 6312085.416192899))",0.0
56,56,"POLYGON ((85125.86896790686 6292085.416192899, 105125.86896790686 6292085.416192899, 105125.86896790686 6272085.416192899, 85125.86896790686 6272085.416192899, 85125.86896790686 6292085.416192899))",0.0
57,57,"POLYGON ((85125.86896790686 6272085.416192899, 105125.86896790686 6272085.416192899, 105125.86896790686 6252085.416192899, 85125.86896790686 6252085.416192899, 85125.86896790686 6272085.416192899))",0.0
58,58,"POLYGON ((85125.86896790686 6252085.416192899, 105125.86896790686 6252085.416192899, 105125.86896790686 6232085.416192899, 85125.86896790686 6232085.416192899, 85125.86896790686 6252085.416192899))",0.0
59,59,"POLYGON ((85125.86896790686 6232085.416192899, 105125.86896790686 6232085.416192899, 105125.86896790686 6212085.416192899, 85125.86896790686 6212085.416192899, 85125.86896790686 6232085.416192899))",0.0
60,60,"POLYGON ((85125.86896790686 6212085.416192899, 105125.86896790686 6212085.416192899, 105125.86896790686 6192085.416192899, 85125.86896790686 6192085.416192899, 85125.86896790686 6212085.416192899))",0.0
61,61,"POLYGON ((85125.86896790686 6192085.416192899, 105125.86896790686 6192085.416192899, 105125.86896790686 6172085.416192899, 85125.86896790686 6172085.416192899, 85125.86896790686 6192085.416192899))",0.0
62,62,"POLYGON ((85125.86896790686 6172085.416192899, 105125.86896790686 6172085.416192899, 105125.86896790686 6152085.416192899, 85125.86896790686 6152085.416192899, 85125.86896790686 6172085.416192899))",0.0
63,63,"POLYGON ((85125.86896790686 6152085.416192899, 105125.86896790686 6152085.416192899, 105125.86896790686 6132085.416192899, 85125.86896790686 6132085.416192899, 85125.86896790686 6152085.416192899))",0.0
64,64,"POLYGON ((85125.86896790686 6132085.416192899, 105125.86896790686 6132085.416192899, 105125.86896790686 6112085.416192899, 85125.86896790686 6112085.416192899, 85125.86896790686 6132085.416192899))",0.0
65,65,"POLYGON ((85125.86896790686 6112085.416192899, 105125.86896790686 6112085.416192899, 105125.86896790686 6092085.416192899, 85125.86896790686 6092085.416192899, 85125.86896790686 6112085.416192899))",0.0
66,66,"POLYGON ((85125.86896790686 6092085.416192899, 105125.86896790686 6092085.416192899, 105125.86896790686 6072085.416192899, 85125.86896790686 6072085.416192899, 85125.86896790686 6092085.416192899))",0.0
67,67,"POLYGON ((85125.86896790686 6072085.416192899, 105125.86896790686 6072085.416192899, 105125.86896790686 6052085.416192899, 85125.86896790686 6052085.416192899, 85125.86896790686 6072085.416192899))",0.0
68,68,"POLYGON ((85125.86896790686 6052085.416192899, 105125.86896790686 6052085.416192899, 105125.86896790686 6032085.416192899, 85125.86896790686 6032085.416192899, 85125.86896790686 6052085.416192899))",0.0
69,69,"POLYGON ((85125.86896790686 6032085.416192899, 105125.86896790686 6032085.416192899, 105125.86896790686 6012085.416192899, 85125.86896790686 6012085.416192899, 85125.86896790686 6032085.416192899))",0.0
70,70,"POLYGON ((85125.86896790686 6012085.416192899, 105125.86896790686 6012085.416192899, 105125.86896790686 5992085.416192899, 85125.86896790686 5992085.416192899, 85125.86896790686 6012085.416192899))",0.0
71,71,"POLYGON ((85125.86896790686 5992085.416192899, 105125.86896790686 5992085.416192899, 105125.86896790686 5972085.416192899, 85125.86896790686 5972085.416192899, 85125.86896790686 5992085.416192899))",0.0
72,72,"POLYGON ((85125.86896790686 5972085.416192899, 105125.86896790686 5972085.416192899, 105125.86896790686 5952085.416192899, 85125.86896790686 5952085.416192899, 85125.86896790686 5972085.416192899))",0.0
73,73,"POLYGON ((85125.86896790686 5952085.416192899, 105125.86896790686 5952085.416192899, 105125.86896790686 5932085.416192899, 85125.86896790686 5932085.416192899, 85125.86896790686 5952085.416192899))",0.0
74,74,"POLYGON ((85125.86896790686 5932085.416192899, 105125.86896790686 5932085.416192899, 105125.86896790686 5912085.416192899, 85125.86896790686 5912085.416192899, 85125.86896790686 5932085.416192899))",0.0
75,75,"POLYGON ((85125.86896790686 5912085.416192899, 105125.86896790686 5912085.416192899, 105125.86896790686 5892085.416192899, 85125.86896790686 5892085.416192899, 85125.86896790686 5912085.416192899))",0.0
76,76,"POLYGON ((85125.86896790686 5892085.416192899, 105125.86896790686 5892085.416192899, 105125.86896790686 5872085.416192899, 85125.86896790686 5872085.416192899, 85125.86896790686 5892085.416192899))",0.0
77,77,"POLYGON ((85125.86896790686 5872085.416192899, 105125.86896790686 5872085.416192899, 105125.86896790686 5852085.416192899, 85125.86896790686 5852085.416192899, 85125.86896790686 5872085.416192899))",0.0
78,78,"POLYGON ((85125.86896790686 5852085.416192899, 105125.86896790686 5852085.416192899, 105125.86896790686 5832085.416192899, 85125.86896790686 5832085.416192899, 85125.86896790686 5852085.416192899))",0.0
79,79,"POLYGON ((85125.86896790686 5832085.416192899, 105125.86896790686 5832085.416192899, 105125.86896790686 5812085.416192899, 85125.86896790686 5812085.416192899, 85125.86896790686 5832085.416192899))",0.0
80,80,"POLYGON ((105125.86896790686 6612085.416192899, 125125.86896790686 6612085.416192899, 125125.86896790686 6592085.416192899, 105125.86896790686 6592085.416192899, 105125.86896790686 6612085.416192899))",0.0
81,81,"POLYGON ((105125.86896790686 6592085.416192899, 125125.86896790686 6592085.416192899, 125125.86896790686 6572085.416192899, 105125.86896790686 6572085.416192899, 105125.86896790686 6592085.416192899))",0.0
82,82,"POLYGON ((105125.86896790686 6572085.416192899, 125125.86896790686 6572085.416192899, 125125.86896790686 6552085.416192899, 105125.86896790686 6552085.416192899, 105125.86896790686 6572085.416192899))",0.0
83,83,"POLYGON ((105125.86896790686 6552085.416192899, 125125.86896790686 6552085.416192899, 125125.86896790686 6532085.416192899, 105125.86896790686 6532085.416192899, 105125.86896790686 6552085.416192899))",0.0
84,84,"POLYGON ((105125.86896790686 6532085.416192899, 125125.86896790686 6532085.416192899, 125125.86896790686 6512085.416192899, 105125.86896790686 6512085.416192899, 105125.86896790686 6532085.416192899))",0.0
85,85,"POLYGON ((105125.86896790686 6512085.416192899, 125125.86896790686 6512085.416192899, 125125.86896790686 6492085.416192899, 105125.86896790686 6492085.416192899, 105125.86896790686 6512085.416192899))",0.0
86,86,"POLYGON ((105125.86896790686 6492085.416192899, 125125.86896790686 6492085.416192899, 125125.86896790686 6472085.416192899, 105125.86896790686 6472085.416192899, 105125.86896790686 6492085.416192899))",0.0
87,87,"POLYGON ((105125.86896790686 6472085.416192899, 125125.86896790686 6472085.416192899, 125125.86896790686 6452085.416192899, 105125.86896790686 6452085.416192899, 105125.86896790686 6472085.416192899))",0.0
88,88,"POLYGON ((105125.86896790686 6452085.416192899, 125125.86896790686 6452085.416192899, 125125.86896790686 6432085.416192899, 105125.86896790686 6432085.416192899, 105125.86896790686 6452085.416192899))",0.0
89,89,"POLYGON ((105125.86896790686 6432085.416192899, 125125.86896790686 6432085.416192899, 125125.86896790686 6412085.416192899, 105125.86896790686 6412085.416192899, 105125.86896790686 6432085.416192899))",0.0
90,90,"POLYGON ((105125.86896790686 6412085.416192899, 125125.86896790686 6412085.416192899, 125125.86896790686 6392085.416192899, 105125.86896790686 6392085.416192899, 105125.86896790686 6412085.416192899))",0.0
91,91,"POLYGON ((105125.86896790686 6392085.416192899, 125125.86896790686 6392085.416192899, 125125.86896790686 6372085.416192899, 105125.86896790686 6372085.416192899, 105125.86896790686 6392085.416192899))",0.0
92,92,"POLYGON ((105125.86896790686 6372085.416192899, 125125.86896790686 6372085.416192899, 125125.86896790686 6352085.416192899, 105125.86896790686 6352085.416192899, 105125.86896790686 6372085.416192899))",0.0
93,93,"POLYGON ((105125.86896790686 6352085.416192899, 125125.86896790686 6352085.416192899, 125125.86896790686 6332085.416192899, 105125.86896790686 6332085.416192899, 105125.86896790686 6352085.416192899))",0.0
94,94,"POLYGON ((105125.86896790686 6332085.416192899, 125125.86896790686 6332085.416192899, 125125.86896790686 6312085.416192899, 105125.86896790686 6312085.416192899, 105125.86896790686 6332085.416192899))",0.0
95,95,"POLYGON ((105125.86896790686 6312085.416192899, 125125.86896790686 6312085.416192899, 125125.86896790686 6292085.416192899, 105125.86896790686 6292085.416192899, 105125.86896790686 6312085.416192899))",0.0
96,96,"POLYGON ((105125.86896790686 6292085.416192899, 125125.86896790686 6292085.416192899, 125125.86896790686 6272085.416192899, 105125.86896790686 6272085.416192899, 105125.86896790686 6292085.416192899))",0.0
97,97,"POLYGON ((105125.86896790686 6272085.416192899, 125125.86896790686 6272085.416192899, 125125.86896790686 6252085.416192899, 105125.86896790686 6252085.416192899, 105125.86896790686 6272085.416192899))",0.0
98,98,"POLYGON ((105125.86896790686 6252085.416192899, 125125.86896790686 6252085.416192899, 125125.86896790686 6232085.416192899, 105125.86896790686 6232085.416192899, 105125.86896790686 6252085.416192899))",0.0
99,99,"POLYGON ((105125.86896790686 6232085.416192899, 125125.86896790686 6232085.416192899, 125125.86896790686 6212085.416192899, 105125.86896790686 6212085.416192899, 105125.86896790686 6232085.416192899))",0.0
100,100,"POLYGON ((105125.86896790686 6212085.416192899, 125125.86896790686 6212085.416192899, 125125.86896790686 6192085.416192899, 105125.86896790686 6192085.416192899, 105125.86896790686 6212085.416192899))",0.0
101,101,"POLYGON ((105125.86896790686 6192085.416192899, 125125.86896790686 6192085.416192899, 125125.86896790686 6172085.416192899, 105125.86896790686 6172085.416192899, 105125.86896790686 6192085.416192899))",0.0
102,102,"POLYGON ((105125.86896790686 6172085.416192899, 125125.86896790686 6172085.416192899, 125125.86896790686 6152085.416192899, 105125.86896790686 6152085.416192899, 105125.86896790686 6172085.416192899))",0.0
103,103,"POLYGON ((105125.86896790686 6152085.416192899, 125125.86896790686 6152085.416192899, 125125.86896790686 6132085.416192899, 105125.86896790686 6132085.416192899, 105125.86896790686 6152085.416192899))",0.0
104,104,"POLYGON ((105125.86896790686 6132085.416192899, 125125.86896790686 6132085.416192899, 125125.86896790686 6112085.416192899, 105125.86896790686 6112085.416192899, 105125.86896790686 6132085.416192899))",0.0
105,105,"POLYGON ((105125.86896790686 6112085.416192899, 125125.86896790686 6112085.416192899, 125125.86896790686 6092085.416192899, 105125.86896790686 6092085.416192899, 105125.86896790686 6112085.416192899))",0.0
106,106,"POLYGON ((105125.86896790686 6092085.416192899, 125125.86896790686 6092085.416192899, 125125.86896790686 6072085.416192899, 105125.86896790686 6072085.416192899, 105125.86896790686 6092085.416192899))",0.0
107,107,"POLYGON ((105125.86896790686 6072085.416192899, 125125.86896790686 6072085.416192899, 125125.86896790686 6052085.416192899, 105125.86896790686 6052085.416192899, 105125.86896790686 6072085.416192899))",0.0
108,108,"POLYGON ((105125.86896790686 6052085.416192899, 125125.86896790686 6052085.416192899, 125125.86896790686 6032085.416192899, 105125.86896790686 6032085.416192899, 105125.86896790686 6052085.416192899))",0.0
109,109,"POLYGON ((105125.86896790686 6032085.416192899, 125125.86896790686 6032085.416192899, 125125.86896790686 6012085.416192899, 105125.86896790686 6012085.416192899, 105125.86896790686 6032085.416192899))",0.0
110,110,"POLYGON ((105125.86896790686 6012085.416192899, 125125.86896790686 6012085.416192899, 125125.86896790686 5992085.416192899, 105125.86896790686 5992085.416192899, 105125.86896790686 6012085.416192899))",0.0
111,111,"POLYGON ((105125.86896790686 5992085.416192899, 125125.86896790686 5992085.416192899, 125125.86896790686 5972085.416192899, 105125.86896790686 5972085.416192899, 105125.86896790686 5992085.416192899))",0.0
112,112,"POLYGON ((105125.86896790686 5972085.416192899, 125125.86896790686 5972085.416192899, 125125.86896790686 5952085.416192899, 105125.86896790686 5952085.416192899, 105125.86896790686 5972085.416192899))",0.0
113,113,"POLYGON ((105125.86896790686 5952085.416192899, 125125.86896790686 5952085.416192899, 125125.86896790686 5932085.416192899, 105125.86896790686 5932085.416192899, 105125.86896790686 5952085.416192899))",0.0
114,114,"POLYGON ((105125.86896790686 5932085.416192899, 125125.86896790686 5932085.416192899, 125125.86896790686 5912085.416192899, 105125.86896790686 5912085.416192899, 105125.86896790686 5932085.416192899))",0.0
115,115,"POLYGON ((105125.86896790686 5912085.416192899, 125125.86896790686 5912085.416192899, 125125.86896790686 5892085.416192899, 105125.86896790686 5892085.416192899, 105125.86896790686 5912085.416192899))",0.0
116,116,"POLYGON ((105125.86896790686 5892085.416192899, 125125.86896790686 5892085.416192899, 125125.86896790686 5872085.416192899, 105125.86896790686 5872085.416192899, 105125.86896790686 5892085.416192899))",0.0
117,117,"POLYGON ((105125.86896790686 5872085.416192899, 125125.86896790686 5872085.416192899, 125125.86896790686 5852085.416192899, 105125.86896790686 5852085.416192899, 105125.86896790686 5872085.416192899))",0.0
118,118,"POLYGON ((105125.86896790686 5852085.416192899, 125125.86896790686 5852085.416192899, 125125.86896790686 5832085.416192899, 105125.86896790686 5832085.416192899, 105125.86896790686 5852085.416192899))",0.0
119,119,"POLYGON ((105125.86896790686 5832085.416192899, 125125.86896790686 5832085.416192899, 125125.86896790686 5812085.416192899, 105125.86896790686 5812085.416192899, 105125.86896790686 5832085.416192899))",0.0
120,120,"POLYGON ((125125.86896790686 6612085.416192899, 145125.86896790686 6612085.416192899, 145125.86896790686 6592085.416192899, 125125.86896790686 6592085.416192899, 125125.86896790686 6612085.416192899))",0.0
121,121,"POLYGON ((125125.86896790686 6592085.416192899, 145125.86896790686 6592085.416192899, 145125.86896790686 6572085.416192899, 125125.86896790686 6572085.416192899, 125125.86896790686 6592085.416192899))",0.0
122,122,"POLYGON ((125125.86896790686 6572085.416192899, 145125.86896790686 6572085.416192899, 145125.86896790686 6552085.416192899, 125125.86896790686 6552085.416192899, 125125.86896790686 6572085.416192899))",0.0
123,123,"POLYGON ((125125.86896790686 6552085.416192899, 145125.86896790686 6552085.416192899, 145125.86896790686 6532085.416192899, 125125.86896790686 6532085.416192899, 125125.86896790686 6552085.416192899))",0.0
124,124,"POLYGON ((125125.86896790686 6532085.416192899, 145125.86896790686 6532085.416192899, 145125.86896790686 6512085.416192899, 125125.86896790686 6512085.416192899, 125125.86896790686 6532085.416192899))",0.0
125,125,"POLYGON ((125125.86896790686 6512085.416192899, 145125.86896790686 6512085.416192899, 145125.86896790686 6492085.416192899, 125125.86896790686 6492085.416192899, 125125.86896790686 6512085.416192899))",0.0
126,126,"POLYGON ((125125.86896790686 6492085.416192899, 145125.86896790686 6492085.416192899, 145125.86896790686 6472085.416192899, 125125.86896790686 6472085.416192899, 125125.86896790686 6492085.416192899))",0.0
127,127,"POLYGON ((125125.86896790686 6472085.416192899, 145125.86896790686 6472085.416192899, 145125.86896790686 6452085.416192899, 125125.86896790686 6452085.416192899, 125125.86896790686 6472085.416192899))",0.0
128,128,"POLYGON ((125125.86896790686 6452085.416192899, 145125.86896790686 6452085.416192899, 145125.86896790686 6432085.416192899, 125125.86896790686 6432085.416192899, 125125.86896790686 6452085.416192899))",0.0
129,129,"POLYGON ((125125.86896790686 6432085.416192899, 145125.86896790686 6432085.416192899, 145125.86896790686 6412085.416192899, 125125.86896790686 6412085.416192899, 125125.86896790686 6432085.416192899))",0.0
130,130,"POLYGON ((125125.86896790686 6412085.416192899, 145125.86896790686 6412085.416192899, 145125.86896790686 6392085.416192899, 125125.86896790686 6392085.416192899, 125125.86896790686 6412085.416192899))",63095734448019.43
131,131,"POLYGON ((125125.86896790686 6392085.416192899, 145125.86896790686 6392085.416192899, 145125.86896790686 6372085.416192899, 125125.86896790686 6372085.416192899, 125125.86896790686 6392085.416192899))",0.0
132,132,"POLYGON ((125125.86896790686 6372085.416192899, 145125.86896790686 6372085.416192899, 145125.86896790686 6352085.416192899, 125125.86896790686 6352085.416192899, 125125.86896790686 6372085.416192899))",0.0
133,133,"POLYGON ((125125.86896790686 6352085.416192899, 145125.86896790686 6352085.416192899, 145125.86896790686 6332085.416192899, 125125.86896790686 6332085.416192899, 125125.86896790686 6352085.416192899))",0.0
134,134,"POLYGON ((125125.86896790686 6332085.416192899, 145125.86896790686 6332085.416192899, 145125.86896790686 6312085.416192899, 125125.86896790686 6312085.416192899, 125125.86896790686 6332085.416192899))",0.0
135,135,"POLYGON ((125125.86896790686 6312085.416192899, 145125.86896790686 6312085.416192899, 145125.86896790686 6292085.416192899, 125125.86896790686 6292085.416192899, 125125.86896790686 6312085.416192899))",0.0
136,136,"POLYGON ((125125.86896790686 6292085.416192899, 145125.86896790686 6292085.416192899, 145125.86896790686 6272085.416192899, 125125.86896790686 6272085.416192899, 125125.86896790686 6292085.416192899))",0.0
137,137,"POLYGON ((125125.86896790686 6272085.416192899, 145125.86896790686 6272085.416192899, 145125.86896790686 6252085.416192899, 125125.86896790686 6252085.416192899, 125125.86896790686 6272085.416192899))",0.0
